ID,gender,race,parental level of education,lunch,test preparation course,math score,physics score,computer science score,economics score,biology score,literature score,psychology score,history score
416,female,Asian,high school,standard,none,85,85,88,83,88,90,82,86
417,male,European,master's degree,standard,none,76,77,80,76,78,85,76,82
418,female,Asian,doctorate,standard,completed,83,83,92,89,83,98,93,92
419,male,European,associate's degree,standard,completed,63,61,62,59,67,66,63,71
420,female,African,bachelor's degree,standard,completed,73,66,76,70,71,81,72,83
421,male,European,some high school,standard,none,83,85,90,85,74,86,91,84
422,male,Asian,doctorate,standard,none,68,61,78,74,68,73,74,74
423,male,Asian,high school,standard,completed,48,51,59,57,52,74,69,70
424,male,European,associate's degree,free/reduced,none,79,75,72,71,72,81,78,74
425,female,American,some high school,standard,none,91,100,100,94,96,83,83,80
426,male,European,some high school,standard,none,77,76,77,80,73,86,79,84
427,female,European,bachelor's degree,standard,none,82,71,86,81,80,90,86,93
428,female,European,bachelor's degree,standard,none,83,68,86,79,72,80,90,83
429,female,European,bachelor's degree,standard,completed,84,87,94,89,93,93,84,86
430,female,European,doctorate,standard,none,85,81,85,84,79,86,89,79
431,male,American,some college,standard,completed,87,91,89,84,81,75,72,76
432,female,European,master's degree,free/reduced,none,74,68,83,77,70,79,77,78
433,female,European,doctorate,standard,none,72,62,76,78,72,83,80,74
434,female,European,high school,standard,none,93,91,96,79,86,75,73,78
435,female,Asian,master's degree,standard,completed,87,79,78,75,77,77,76,81
436,female,Asian,high school,free/reduced,completed,85,84,89,85,89,95,89,93
437,female,European,doctorate,standard,none,62,55,66,65,59,74,76,66
438,male,European,associate's degree,free/reduced,none,82,85,84,82,84,74,86,81
439,male,European,doctorate,standard,none,77,80,77,77,81,79,81,82
440,female,European,associate's degree,standard,none,82,87,81,85,86,87,89,85
441,female,European,doctorate,standard,none,94,99,100,94,93,88,91,87
442,male,Asian,doctorate,free/reduced,none,84,78,85,79,77,81,83,81
443,female,Asian,some college,free/reduced,none,72,77,74,70,70,77,71,77
444,female,European,associate's degree,standard,completed,72,71,71,70,70,70,68,75
445,male,European,bachelor's degree,free/reduced,none,40,43,50,49,49,54,51,52
446,male,American,some college,free/reduced,none,81,85,88,72,84,79,78,78
447,male,American,high school,standard,completed,73,79,82,79,71,83,81,78
448,male,Asian,some college,standard,none,58,47,57,56,58,77,79,69
449,male,American,associate's degree,standard,completed,75,76,71,68,70,73,67,69
450,female,European,master's degree,standard,none,64,61,71,72,65,72,71,69
451,female,Asian,some high school,standard,none,76,74,73,74,68,72,74,76
452,female,American,bachelor's degree,standard,none,91,97,94,87,98,77,74,85
453,female,Asian,bachelor's degree,standard,none,70,66,73,74,69,78,78,76
454,male,European,high school,standard,none,84,83,83,80,80,90,90,81
455,male,European,some college,standard,none,85,93,89,84,86,72,79,76
456,male,European,master's degree,standard,completed,74,74,77,81,79,85,84,86
457,female,European,associate's degree,standard,completed,90,94,91,95,84,90,85,88
458,male,European,associate's degree,free/reduced,none,71,73,75,86,69,86,90,80
459,female,Asian,bachelor's degree,standard,completed,72,64,78,72,73,73,80,76
460,female,European,doctorate,standard,none,66,69,72,68,70,71,77,74
461,male,European,some college,standard,completed,65,59,72,67,62,77,77,76
462,male,European,high school,standard,none,71,78,77,80,72,78,79,75
463,male,American,some college,standard,none,81,78,82,77,80,77,77,74
464,female,European,doctorate,standard,none,69,74,75,75,69,84,80,84
465,male,European,associate's degree,free/reduced,none,84,91,86,80,81,80,82,81
466,female,European,associate's degree,standard,none,70,68,67,74,75,78,69,78
467,male,European,some high school,standard,none,88,90,90,88,92,95,86,88
468,female,African,associate's degree,free/reduced,none,82,81,81,73,78,68,69,71
469,female,European,high school,free/reduced,completed,90,85,80,82,88,84,87,86
470,female,European,bachelor's degree,standard,none,80,75,81,83,84,78,77,77
471,male,European,doctorate,free/reduced,none,90,93,96,90,94,90,90,90
472,male,European,doctorate,standard,none,79,67,74,77,70,86,83,77
473,female,European,some high school,standard,completed,72,75,81,75,70,70,72,68
474,female,Asian,associate's degree,free/reduced,none,61,58,58,60,58,70,68,67
475,female,European,high school,standard,none,73,77,77,76,76,89,84,78
476,female,American,some high school,standard,none,73,65,66,76,67,77,80,72
477,male,European,doctorate,standard,completed,93,79,85,84,87,97,97,91
478,female,European,master's degree,standard,none,87,95,85,82,87,77,78,79
479,male,Asian,bachelor's degree,standard,none,95,93,95,86,90,96,91,87
480,male,Asian,doctorate,standard,none,63,68,72,68,65,86,85,84
481,male,European,associate's degree,standard,completed,82,80,92,79,81,96,86,86
482,male,Asian,high school,standard,completed,70,72,69,67,70,75,69,65
483,male,American,master's degree,standard,none,54,52,55,60,58,65,61,61
484,female,European,doctorate,free/reduced,none,62,59,65,67,55,79,73,79
485,male,American,bachelor's degree,free/reduced,completed,81,76,87,79,91,94,94,91
486,female,African,high school,free/reduced,none,100,99,100,100,94,100,100,100
487,female,European,master's degree,free/reduced,completed,79,82,81,81,85,89,85,85
488,male,European,associate's degree,standard,completed,62,54,63,66,66,80,76,77
489,female,European,doctorate,standard,completed,68,71,74,76,70,85,84,82
490,female,American,some high school,standard,none,65,56,73,69,60,77,72,73
491,female,European,associate's degree,standard,none,73,76,79,76,78,79,79,74
492,male,European,some college,standard,completed,84,81,90,83,67,79,75,79
493,female,European,doctorate,standard,none,73,72,81,79,78,92,91,90
494,male,European,doctorate,standard,none,64,64,61,64,63,77,75,73
495,male,European,doctorate,standard,none,95,89,93,88,87,91,92,88
496,male,European,high school,free/reduced,none,79,74,78,77,70,71,68,74
497,male,European,high school,free/reduced,none,60,50,61,60,57,75,71,72
498,male,European,some high school,standard,none,59,57,69,74,57,79,76,73
499,male,European,doctorate,standard,completed,81,75,82,76,81,87,83,82
500,female,American,associate's degree,standard,completed,85,85,92,90,84,84,88,82
501,female,European,high school,standard,completed,58,57,56,57,62,70,65,70
502,male,European,doctorate,standard,none,88,91,91,90,91,84,90,85
503,male,Asian,master's degree,free/reduced,completed,78,81,80,77,80,75,78,70
504,female,European,high school,standard,none,95,86,92,93,88,96,93,93
505,female,European,master's degree,standard,completed,77,80,79,76,78,75,67,75
506,male,Asian,some college,free/reduced,none,100,100,84,99,91,99,92,96
507,female,American,high school,free/reduced,none,83,93,92,91,84,81,85,83
508,female,European,doctorate,standard,completed,71,70,76,74,77,71,71,71
509,female,European,some college,free/reduced,completed,88,87,95,90,90,92,91,81
510,female,Asian,master's degree,standard,none,89,91,90,92,83,88,91,83
511,male,European,associate's degree,standard,completed,81,80,75,74,76,65,66,71
512,male,Asian,doctorate,standard,none,77,70,73,77,73,84,77,71
513,male,American,bachelor's degree,standard,none,69,57,67,64,58,64,66,62
514,male,European,associate's degree,standard,none,55,55,55,58,55,60,60,65
515,male,European,some college,free/reduced,none,86,91,82,87,81,89,91,89
516,male,American,bachelor's degree,free/reduced,none,81,83,93,86,86,77,80,70
517,male,European,some college,free/reduced,completed,69,78,78,73,72,79,79,73
518,female,American,high school,free/reduced,completed,74,62,78,73,70,72,68,76
519,female,European,bachelor's degree,standard,none,49,51,53,61,51,77,78,69
520,female,Asian,master's degree,standard,none,93,93,95,86,91,77,69,78
521,female,American,bachelor's degree,standard,completed,69,73,78,74,79,82,74,76
522,female,Asian,doctorate,free/reduced,completed,65,66,73,70,72,78,70,76
523,male,European,some high school,standard,completed,56,49,60,53,53,58,56,56
524,female,Asian,bachelor's degree,standard,none,81,84,79,87,79,82,88,79
525,male,European,some high school,standard,none,97,92,99,93,85,86,84,87
526,male,American,bachelor's degree,standard,completed,93,89,90,87,93,92,91,91
527,male,Asian,high school,standard,completed,77,72,80,79,78,89,89,93
528,female,European,master's degree,standard,completed,70,68,81,71,74,87,84,77
529,female,European,doctorate,free/reduced,completed,84,75,77,73,75,69,78,71
530,male,American,some college,standard,none,53,42,51,58,56,64,64,64
531,female,European,doctorate,standard,completed,67,62,66,74,75,74,73,70
532,male,European,master's degree,free/reduced,none,82,76,83,76,80,86,84,80
533,female,European,some high school,standard,completed,66,64,74,58,67,70,67,64
534,female,Asian,high school,free/reduced,completed,55,59,58,59,66,63,63,67
535,female,European,doctorate,free/reduced,completed,61,50,59,66,59,72,76,74
536,male,Asian,associate's degree,standard,none,61,50,67,64,63,85,83,74
537,female,Asian,master's degree,standard,none,73,68,80,77,77,80,81,81
538,male,European,associate's degree,free/reduced,none,72,68,72,70,76,69,69,67
539,female,European,associate's degree,free/reduced,none,75,70,68,73,67,75,71,74
540,female,American,doctorate,standard,completed,76,69,74,69,73,86,81,78
541,female,European,high school,standard,none,68,74,75,72,67,67,63,75
542,female,European,associate's degree,standard,none,84,82,91,75,76,76,71,74
543,female,African,associate's degree,free/reduced,none,67,64,72,74,69,69,71,69
544,male,European,some college,standard,none,78,61,82,80,72,97,93,86
545,male,European,master's degree,standard,completed,79,69,75,79,80,77,77,75
546,male,African,bachelor's degree,free/reduced,completed,81,72,81,78,71,80,77,79
547,male,European,associate's degree,free/reduced,none,66,57,68,63,60,77,81,77
548,male,European,some college,standard,completed,55,57,61,63,58,66,73,68
549,female,Asian,master's degree,standard,none,82,81,82,87,80,82,82,84
550,female,African,some high school,standard,none,70,69,69,76,72,78,88,83
551,male,European,doctorate,standard,completed,64,54,62,59,59,75,70,70
552,male,African,some high school,standard,none,74,73,77,80,79,77,72,80
553,female,European,high school,free/reduced,none,72,66,77,75,69,77,82,72
554,male,European,master's degree,standard,none,93,90,93,95,90,79,82,73
555,female,American,some college,standard,none,92,91,95,92,94,94,92,87
556,female,American,master's degree,standard,none,91,100,96,100,100,100,100,100
557,male,European,some college,standard,completed,69,69,72,73,73,75,65,70
558,male,European,some high school,standard,none,69,72,72,75,64,82,78,73
559,male,European,associate's degree,standard,completed,81,82,84,85,88,94,87,89
560,female,European,high school,standard,completed,55,56,61,61,57,60,60,57
561,female,American,some high school,standard,none,52,56,59,60,56,68,66,69
562,male,Asian,associate's degree,free/reduced,completed,55,51,60,59,59,63,62,60
563,female,American,some high school,standard,none,73,66,71,77,68,83,81,80
564,male,American,high school,standard,completed,75,75,84,77,70,78,74,73
565,male,European,high school,standard,none,98,100,100,97,99,93,92,94
566,male,European,doctorate,standard,completed,80,92,88,79,86,68,69,70
567,female,European,associate's degree,standard,none,94,86,90,93,83,92,93,96
568,male,American,some college,standard,none,78,79,77,84,73,93,88,85
569,female,European,some high school,free/reduced,none,100,100,100,100,100,98,97,95
570,female,European,high school,standard,completed,53,51,54,49,49,57,54,56
571,male,American,doctorate,free/reduced,none,91,80,92,90,88,95,88,95
572,female,African,high school,free/reduced,completed,60,60,66,66,64,80,73,62
573,female,European,some high school,free/reduced,completed,88,87,90,79,90,81,84,81
574,male,European,master's degree,free/reduced,completed,93,97,93,86,89,82,82,87
575,male,European,associate's degree,standard,none,71,71,81,74,68,63,68,66
576,female,European,high school,free/reduced,none,64,71,70,73,60,76,73,73
577,male,European,bachelor's degree,standard,none,91,93,91,93,83,87,89,88
578,female,European,associate's degree,free/reduced,completed,73,73,78,77,81,86,86,84
579,male,European,associate's degree,standard,none,72,76,81,81,76,97,90,89
580,male,European,associate's degree,free/reduced,completed,90,93,99,98,92,92,89,90
581,male,Asian,high school,standard,completed,100,100,100,100,100,100,98,100
582,female,American,associate's degree,free/reduced,none,82,77,78,82,76,82,86,76
583,female,Asian,some high school,free/reduced,completed,55,65,65,65,58,76,76,76
584,female,European,associate's degree,standard,none,81,79,86,76,74,79,80,74
585,male,European,master's degree,standard,completed,89,75,85,91,85,75,77,72
586,female,European,associate's degree,free/reduced,completed,85,91,90,84,82,90,93,89
587,female,European,master's degree,standard,completed,68,70,70,67,73,87,74,76
588,female,American,bachelor's degree,free/reduced,none,50,51,61,64,57,66,64,61
589,male,European,bachelor's degree,standard,none,82,82,81,87,86,94,90,86
590,male,European,high school,free/reduced,none,77,83,77,77,72,80,82,83
591,male,European,some college,standard,none,67,63,68,71,69,91,84,86
592,female,Asian,doctorate,standard,none,76,74,79,79,75,79,79,83
593,female,European,doctorate,standard,completed,81,85,80,77,72,85,75,76
594,female,European,high school,standard,completed,83,94,90,91,90,87,84,86
595,male,European,master's degree,standard,completed,100,100,100,100,100,99,100,99
596,male,American,bachelor's degree,standard,completed,88,92,94,86,90,89,92,86
597,female,European,bachelor's degree,standard,none,77,75,81,79,79,78,79,78
598,male,American,associate's degree,standard,completed,61,61,65,66,67,89,83,73
599,male,European,doctorate,standard,none,81,75,79,79,81,75,72,73
600,male,European,bachelor's degree,standard,none,64,65,71,71,67,85,79,84
601,female,European,high school,standard,completed,71,70,77,74,68,67,77,67
602,male,Asian,associate's degree,standard,completed,87,91,88,89,92,82,77,80
603,male,African,associate's degree,free/reduced,none,57,41,64,55,60,70,73,74
604,female,European,high school,standard,completed,87,69,84,80,85,88,88,90
605,female,European,some high school,standard,none,81,88,79,83,80,88,94,91
606,male,American,associate's degree,free/reduced,none,68,60,82,71,75,73,72,75
607,female,European,doctorate,standard,none,67,58,71,66,71,65,63,72
608,female,Asian,master's degree,standard,completed,79,75,77,77,79,72,87,72
609,male,European,some college,standard,none,88,88,85,88,83,90,83,90
610,female,American,some college,free/reduced,completed,71,71,80,80,77,86,87,91
611,male,European,doctorate,standard,none,90,84,86,94,82,90,92,89
612,male,European,some high school,free/reduced,none,65,58,71,63,66,69,71,70
613,female,European,doctorate,standard,completed,95,100,100,100,100,93,93,97
614,male,European,master's degree,standard,none,78,76,78,78,70,80,84,77
615,female,European,some college,standard,none,91,91,87,88,86,87,84,86
616,female,American,associate's degree,standard,none,91,84,94,98,87,100,99,96
617,female,European,bachelor's degree,standard,none,68,51,61,69,71,78,67,73
618,male,European,bachelor's degree,free/reduced,none,93,81,84,88,81,86,81,81
619,female,European,some college,standard,none,71,69,79,72,74,77,76,73
620,male,European,master's degree,standard,completed,76,82,87,82,74,88,76,80
621,male,Asian,some college,standard,completed,96,87,95,87,84,88,87,90
622,female,European,doctorate,standard,none,66,64,68,70,62,76,80,76
623,male,European,some high school,free/reduced,none,72,80,86,85,79,97,97,93
624,female,European,some high school,free/reduced,none,89,94,89,89,84,84,80,83
625,male,European,associate's degree,standard,none,80,72,72,78,75,94,92,82
626,male,European,some high school,standard,none,94,100,95,96,92,85,91,84
627,male,European,high school,standard,none,75,71,74,74,70,71,81,72
628,female,African,associate's degree,free/reduced,none,85,89,96,91,83,95,90,96
629,female,European,high school,standard,completed,89,95,87,90,84,92,86,83
630,female,European,some college,standard,none,86,87,82,84,89,74,73,78
631,female,European,some college,standard,none,67,58,70,73,70,79,80,76
632,female,European,doctorate,standard,none,90,90,95,89,91,78,81,76
633,male,European,some high school,standard,none,70,69,78,79,72,87,80,85
634,male,Asian,master's degree,standard,none,88,84,88,91,90,99,96,94
635,male,European,some high school,free/reduced,completed,52,47,42,56,48,60,65,60
636,female,American,associate's degree,free/reduced,none,99,100,99,100,97,90,91,92
637,female,European,bachelor's degree,standard,completed,74,73,82,80,76,80,84,84
638,male,European,high school,standard,none,68,63,68,77,60,72,73,72
639,male,European,associate's degree,standard,completed,83,92,98,91,94,100,95,89
640,female,American,doctorate,standard,none,94,93,100,96,83,86,79,86
641,male,European,bachelor's degree,free/reduced,none,87,84,88,84,82,85,87,82
642,male,European,master's degree,standard,none,91,92,91,87,88,94,86,84
643,female,European,some college,free/reduced,none,72,65,77,74,65,53,59,61
644,female,European,some high school,free/reduced,completed,58,56,61,55,62,55,63,57
645,male,European,some high school,free/reduced,completed,55,50,56,59,58,56,61,60
646,female,European,master's degree,standard,none,90,84,88,90,89,100,100,92
647,female,European,some college,standard,completed,88,80,87,86,80,89,89,86
648,female,African,bachelor's degree,standard,none,73,73,86,75,77,81,82,81
649,male,European,bachelor's degree,free/reduced,none,85,87,86,82,84,82,79,74
650,male,European,master's degree,standard,completed,85,81,87,81,85,89,89,90
651,male,European,bachelor's degree,standard,none,69,67,74,79,74,68,66,67
652,male,American,some college,standard,none,74,70,79,78,76,83,80,81
653,male,European,master's degree,free/reduced,none,82,80,86,84,81,87,86,80
654,male,European,master's degree,standard,none,67,68,79,76,73,77,72,74
655,female,European,bachelor's degree,standard,none,93,97,100,100,95,100,98,91
656,female,European,bachelor's degree,standard,none,92,86,81,88,89,94,88,84
657,male,American,master's degree,standard,none,90,94,93,83,86,76,77,81
658,male,Asian,master's degree,standard,none,97,99,95,100,88,92,89,81
659,female,European,master's degree,standard,completed,85,85,86,83,82,71,64,68
660,male,Asian,doctorate,standard,none,80,80,74,77,75,92,85,84
661,male,African,some college,standard,none,56,51,66,66,64,79,79,80
662,male,Asian,associate's degree,standard,completed,86,90,89,77,86,70,66,70
663,female,European,associate's degree,free/reduced,completed,86,76,84,90,79,98,97,93
664,male,American,doctorate,free/reduced,completed,53,44,57,60,59,76,81,67
665,female,European,associate's degree,standard,completed,83,85,84,78,78,74,74,71
666,male,American,bachelor's degree,standard,completed,90,80,89,88,84,85,84,85
667,male,European,some high school,standard,none,72,71,68,72,74,77,69,80
668,male,Asian,associate's degree,standard,none,100,100,100,98,97,94,96,88
669,male,African,some college,standard,none,74,77,79,75,76,92,86,87
670,male,European,associate's degree,free/reduced,none,77,67,79,85,73,78,78,76
671,male,American,some high school,standard,completed,81,78,85,75,80,73,77,76
672,male,European,master's degree,free/reduced,none,74,62,76,64,71,74,79,71
673,male,Asian,doctorate,standard,none,77,70,85,74,83,76,77,79
674,male,American,some college,free/reduced,none,78,64,79,74,71,76,74,76
675,female,Asian,bachelor's degree,free/reduced,completed,75,72,77,72,69,100,93,89
676,female,American,some high school,standard,completed,90,83,94,94,89,100,100,92
677,male,American,some college,standard,none,77,78,68,74,71,73,67,68
678,male,American,master's degree,standard,completed,75,77,78,74,73,80,78,74
679,female,European,master's degree,standard,completed,76,78,84,81,82,85,86,87
680,female,European,bachelor's degree,free/reduced,none,78,74,75,75,75,81,76,73
681,male,European,some high school,standard,none,82,68,78,76,78,75,75,82
682,female,European,some high school,standard,completed,70,69,73,69,67,70,75,74
683,female,American,bachelor's degree,standard,none,89,90,90,90,93,91,88,84
684,female,European,associate's degree,standard,none,84,81,86,84,71,87,88,86
685,female,European,master's degree,standard,none,81,85,82,85,89,86,79,82
686,male,European,bachelor's degree,standard,none,60,64,70,65,63,64,66,67
687,male,European,master's degree,standard,none,87,76,80,86,78,88,85,81
688,male,European,master's degree,standard,completed,84,88,78,89,82,82,90,82
689,female,European,some college,standard,none,71,71,70,74,77,77,79,77
690,female,American,some high school,standard,completed,70,63,76,68,71,74,74,73
691,female,African,bachelor's degree,standard,none,95,92,92,92,93,100,99,94
692,male,Asian,doctorate,free/reduced,completed,73,72,72,68,68,66,67,71
693,male,European,doctorate,standard,none,61,62,72,72,66,78,72,72
694,female,Asian,doctorate,standard,completed,72,66,68,71,76,94,87,82
695,female,European,associate's degree,standard,none,60,56,61,68,63,83,87,83
696,male,American,some college,free/reduced,none,52,54,70,68,61,75,74,72
697,male,American,doctorate,free/reduced,completed,86,93,91,88,93,91,92,90
698,female,European,some high school,standard,completed,99,100,100,95,93,92,85,91
699,female,European,some college,standard,none,78,82,76,73,76,74,68,71
700,female,Asian,doctorate,standard,none,76,69,78,79,76,94,86,76
701,male,Asian,some college,standard,none,56,56,62,60,57,63,73,62
702,female,European,master's degree,standard,none,80,72,78,83,77,69,74,70
703,male,European,master's degree,standard,completed,80,74,80,85,70,76,80,80
704,female,European,doctorate,free/reduced,none,79,77,78,79,79,82,84,80
705,male,European,associate's degree,free/reduced,completed,66,63,72,71,65,67,79,76
706,female,American,associate's degree,standard,completed,63,54,63,70,67,74,71,71
707,female,European,bachelor's degree,standard,none,80,87,85,84,74,73,73,70
708,male,Asian,high school,free/reduced,completed,72,63,78,75,71,80,84,76
709,female,European,some college,standard,none,72,77,79,76,74,77,76,81
710,female,Asian,high school,free/reduced,none,79,79,84,79,84,83,74,74
711,female,European,high school,free/reduced,none,75,63,73,71,67,67,73,68
712,male,European,some college,standard,none,59,63,55,69,64,77,77,75
713,male,European,master's degree,standard,completed,80,76,79,84,75,97,91,90
714,female,European,master's degree,standard,none,89,86,85,82,83,84,83,85
715,male,American,some high school,free/reduced,completed,80,84,85,77,83,83,76,77
716,female,American,associate's degree,standard,none,77,71,81,73,76,84,79,81
717,male,European,some college,standard,completed,91,91,88,84,87,88,87,88
718,female,European,some college,standard,completed,100,100,100,97,98,96,98,99
719,female,European,bachelor's degree,standard,none,85,86,82,85,84,99,93,92
720,female,Asian,associate's degree,standard,completed,79,82,83,76,72,79,70,74
721,female,European,associate's degree,standard,none,61,47,60,59,59,71,76,66
722,female,African,high school,free/reduced,none,67,74,71,70,73,75,82,79
723,male,American,bachelor's degree,standard,completed,80,79,81,81,67,88,80,83
724,male,American,bachelor's degree,standard,none,78,76,80,82,77,78,73,71
725,male,Asian,high school,standard,completed,88,77,86,80,81,88,92,82
726,male,European,master's degree,standard,none,88,93,96,97,87,92,90,84
727,female,European,associate's degree,standard,completed,87,85,84,77,75,77,78,70
728,male,European,master's degree,standard,none,87,76,77,78,84,85,85,87
729,male,European,associate's degree,standard,none,64,56,59,66,63,86,82,79
730,male,European,doctorate,standard,completed,95,96,89,100,98,100,97,96
731,male,American,bachelor's degree,standard,none,100,94,95,100,90,100,100,95
732,female,Asian,some college,free/reduced,none,71,68,73,70,65,75,82,77
733,female,European,doctorate,standard,completed,79,73,79,80,74,86,88,78
734,male,European,master's degree,standard,none,86,91,81,92,85,93,91,87
735,male,European,high school,free/reduced,none,98,87,99,90,95,89,88,93
736,female,American,some high school,standard,none,81,81,89,89,75,91,90,88
737,male,European,associate's degree,standard,none,93,83,93,97,88,91,97,85
738,female,European,associate's degree,free/reduced,none,50,40,56,64,49,71,70,68
739,male,European,master's degree,free/reduced,completed,73,73,76,73,63,74,77,71
740,male,European,some high school,standard,none,76,76,85,80,82,74,72,73
741,female,European,high school,free/reduced,none,72,77,87,85,74,80,83,80
742,female,European,high school,standard,none,75,64,76,77,72,72,74,77
743,female,African,doctorate,free/reduced,completed,73,77,75,84,72,81,74,83
744,male,European,some college,free/reduced,none,54,44,59,61,46,70,73,68
745,female,Asian,master's degree,free/reduced,none,72,69,70,69,60,74,76,76
746,female,European,bachelor's degree,free/reduced,none,100,100,95,94,95,95,92,93
747,female,European,some college,standard,none,71,67,70,69,67,87,82,82
748,male,American,bachelor's degree,standard,completed,89,88,92,81,84,86,78,81
749,male,European,high school,standard,completed,72,73,72,75,73,67,75,70
750,male,European,doctorate,standard,none,73,70,70,74,70,66,64,65
751,female,European,high school,standard,completed,98,100,100,92,98,100,95,97
752,female,European,doctorate,free/reduced,none,68,73,67,74,70,75,78,77
753,male,American,bachelor's degree,standard,completed,90,89,87,86,78,86,82,87
754,female,European,bachelor's degree,standard,none,65,64,65,66,63,80,74,68
755,male,Asian,master's degree,standard,none,60,53,70,61,68,66,71,77
756,male,European,some high school,free/reduced,none,78,71,76,80,68,77,75,70
757,male,European,bachelor's degree,standard,completed,80,87,84,84,83,81,85,78
758,male,American,doctorate,free/reduced,completed,84,84,87,85,76,87,80,85
759,female,European,some high school,standard,completed,94,93,92,85,90,87,80,86
760,female,European,some college,standard,none,87,90,89,80,81,76,83,82
761,male,European,associate's degree,free/reduced,none,69,67,84,79,71,91,85,80
762,male,American,master's degree,standard,completed,79,80,85,73,79,82,87,85
763,male,European,bachelor's degree,free/reduced,completed,90,90,89,93,92,96,89,92
764,female,European,doctorate,standard,none,70,62,75,75,66,84,81,79
765,male,European,some college,standard,completed,64,69,68,67,66,77,72,70
766,male,European,bachelor's degree,standard,none,64,60,68,70,58,58,66,64
767,female,European,bachelor's degree,standard,none,72,64,63,70,67,70,64,76
768,male,European,doctorate,standard,none,69,58,71,63,61,62,59,67
769,male,European,bachelor's degree,standard,completed,71,73,75,73,77,80,79,72
770,female,European,high school,standard,none,95,98,98,90,96,90,93,90
771,male,European,master's degree,standard,none,58,64,65,65,61,64,63,69
772,male,European,some college,free/reduced,none,66,61,68,73,63,79,66,73
773,male,Asian,bachelor's degree,standard,none,91,82,95,96,92,89,88,88
774,male,European,high school,standard,none,85,79,72,74,80,76,70,77
775,male,African,some college,standard,none,84,72,90,84,80,81,80,83
776,female,American,some high school,standard,none,74,68,76,72,72,77,78,84
777,female,Asian,some high school,standard,none,78,73,79,77,69,81,87,78
778,female,Asian,associate's degree,standard,completed,81,74,87,74,77,80,82,78
779,male,European,doctorate,standard,completed,78,79,80,84,81,85,90,84
780,female,Asian,doctorate,free/reduced,none,69,75,72,66,71,79,84,77
781,female,American,some high school,standard,none,70,73,77,75,75,75,75,72
782,male,European,some college,standard,none,74,68,74,70,68,78,73,75
783,female,European,high school,standard,completed,83,84,86,78,75,86,77,78
784,male,European,high school,free/reduced,none,66,64,67,68,59,84,76,72
785,female,European,some high school,standard,completed,73,65,75,69,70,77,75,81
786,male,European,high school,free/reduced,completed,88,95,90,86,89,100,94,99
787,female,European,some high school,standard,none,70,54,72,66,73,77,71,73
788,male,American,some high school,free/reduced,completed,100,100,100,97,98,99,99,96
789,female,American,high school,standard,completed,95,93,99,89,93,90,84,86
790,male,European,master's degree,free/reduced,completed,79,76,72,80,75,85,84,83
791,male,European,bachelor's degree,standard,none,71,71,67,74,67,82,85,80
792,female,European,bachelor's degree,standard,none,62,61,66,64,60,72,71,70
793,male,European,doctorate,free/reduced,none,66,65,73,72,72,80,80,73
794,female,European,some college,free/reduced,none,72,55,67,66,70,72,77,78
795,male,Asian,bachelor's degree,standard,none,77,77,77,76,72,76,76,73
796,female,European,high school,free/reduced,completed,96,99,91,91,91,90,87,88
797,female,European,high school,standard,completed,77,78,82,82,79,93,91,84
798,female,European,associate's degree,standard,none,60,49,55,68,60,72,69,74
799,female,European,doctorate,standard,none,75,72,76,75,67,73,78,73
800,female,American,high school,standard,none,69,66,66,79,72,87,86,82
801,male,European,bachelor's degree,free/reduced,completed,80,74,84,79,76,81,75,78
802,female,American,associate's degree,standard,none,94,88,88,89,90,84,88,87
803,female,American,some high school,standard,none,73,65,68,70,68,69,73,69
804,female,European,bachelor's degree,standard,none,69,71,76,65,66,70,79,67
805,male,European,bachelor's degree,standard,completed,69,59,69,75,72,77,80,79
806,female,Asian,bachelor's degree,standard,none,69,71,76,81,70,83,88,86
807,male,American,master's degree,standard,completed,100,99,98,91,91,93,94,95
808,male,European,some college,standard,completed,71,70,74,63,77,77,70,71
809,female,Asian,master's degree,free/reduced,completed,83,75,83,79,76,85,79,84
810,male,Asian,associate's degree,standard,completed,78,68,81,77,82,85,82,83
811,male,European,some high school,standard,completed,68,77,77,77,66,78,74,73
812,male,European,high school,standard,none,78,75,80,78,77,86,80,84
813,female,European,bachelor's degree,standard,none,83,83,88,87,83,87,84,87
814,female,European,some college,standard,completed,66,71,73,74,72,94,91,82
815,female,American,some college,standard,completed,85,76,76,91,88,92,89,87
816,male,European,master's degree,free/reduced,none,88,81,86,86,80,82,84,80
817,male,European,doctorate,standard,none,80,71,82,75,70,82,75,75
818,female,Asian,doctorate,free/reduced,none,59,57,63,66,60,65,68,69
819,female,European,bachelor's degree,standard,none,71,64,66,66,66,75,76,74
820,male,American,high school,standard,completed,86,86,86,86,79,82,86,84
821,male,Asian,associate's degree,standard,completed,70,65,76,66,78,81,84,77
822,female,European,some college,standard,none,67,59,66,56,54,56,58,64
823,female,European,master's degree,standard,none,65,60,66,72,65,71,68,76
824,female,American,master's degree,standard,completed,75,70,73,69,66,81,81,81
825,male,European,master's degree,standard,completed,80,84,84,85,83,88,87,85
826,male,Asian,doctorate,standard,none,81,71,72,74,70,80,83,78
827,female,European,associate's degree,standard,none,99,98,98,95,99,87,82,85
828,male,European,bachelor's degree,free/reduced,completed,85,88,81,86,85,91,88,84
829,female,European,high school,free/reduced,none,93,96,87,91,92,80,73,87
830,female,European,some high school,standard,none,91,88,88,88,89,90,88,84
831,female,European,master's degree,free/reduced,none,73,66,76,72,74,72,69,74
